id,price,property_type,subproperty_type,region,province,locality,zip_code,latitude,longitude,construction_year,total_area_sqm,surface_land_sqm,nbr_frontages,nbr_bedrooms,equipped_kitchen,fl_furnished,fl_open_fire,fl_terrace,terrace_sqm,fl_garden,garden_sqm,fl_swimming_pool,fl_floodzone,state_building,primary_energy_consumption_sqm,epc,heating_type,fl_double_glazing,cadastral_income
599000,1100000,HOUSE,HOUSE,Wallonia,Hainaut,Charleroi,6010,50.3934192,4.4691796,1918.0,150,0.0,2,2,0,0,0,1,0,0,0,0,0,TO_RENOVATE,386.0,E,FUELOIL,1,535.0
67642000,9200000,HOUSE,VILLA,Flanders,West Flanders,Veurne,8670,51.1234059,2.6720993,1946.0,0,897.0,4,4,0,0,0,1,40,0,0,0,1,GOOD,139.0,B,GAS,1,1023.0
40141000,14950000,HOUSE,EXCEPTIONAL_PROPERTY,Brussels-Capital,Brussels,Brussels,1083,50.8680822,4.321352,1922.0,583,1627.0,4,5,0,0,0,1,0,0,0,0,0,GOOD,498.0,G,GAS,0,6962.0
34389000,1650000,HOUSE,HOUSE,Wallonia,Liège,Liège,4430,50.6568111,5.5209982,1918.0,109,135.0,2,3,0,0,0,0,0,0,0,0,0,MISSING,295.0,D,FUELOIL,0,371.0
77787000,3000000,HOUSE,HOUSE,Flanders,East Flanders,Oudenaarde,9660,50.8028023,3.7696364,1938.0,204,319.0,0,4,0,0,0,0,0,0,0,0,0,MISSING,286.0,C,GAS,1,604.0
23654000,1590000,HOUSE,HOUSE,Wallonia,Liège,Liège,4000,50.6425959,5.5334123,1981.0,100,93.0,3,2,0,0,0,1,18,0,0,0,0,TO_BE_DONE_UP,353.0,E,PELLET,1,410.0
41722000,4150000,HOUSE,HOUSE,Flanders,Flemish Brabant,Leuven,3071,50.9089208,4.577938,1990.0,213,1868.0,3,5,0,0,1,1,0,1,0,0,0,TO_BE_DONE_UP,411.0,E,ELECTRIC,1,1326.0
60972000,3350000,HOUSE,TOWN_HOUSE,Wallonia,Liège,Huy,4520,50.5673729,5.164802,2020.0,250,475.0,3,5,0,0,0,0,0,0,0,0,0,MISSING,126.0,B,FUELOIL,1,1.0
4809000,3490000,HOUSE,HOUSE,Flanders,Flemish Brabant,Leuven,3080,50.817199,4.5063359,1931.0,144,130.0,0,3,0,0,0,0,0,0,0,0,1,TO_RENOVATE,503.0,F,GAS,1,592.0
1370000,3750000,HOUSE,HOUSE,Flanders,Antwerp,Antwerp,2180,51.2808794,4.4464632,1961.0,161,267.0,3,4,0,0,0,0,0,1,99,0,1,GOOD,471.0,E,GAS,0,986.0
