Feature 1,Feature 2,Correlation
price,nbr_bedrooms,0.3524440860848463
fl_terrace,terrace_sqm,0.29624746803605556
total_area_sqm,nbr_bedrooms,0.22268816534003022
construction_year,total_area_sqm,-0.21447620091577202
price,total_area_sqm,0.19964843897524562
price,fl_swimming_pool,0.1960667570960528
surface_land_sqm,garden_sqm,0.194631988147088
construction_year,nbr_bedrooms,-0.18681485191966862
fl_floodzone,fl_double_glazing,-0.18180800557259272
fl_garden,garden_sqm,0.17383548529220097
fl_open_fire,fl_garden,0.17095082695322975
construction_year,fl_terrace,0.1619446158967768
nbr_frontages,fl_swimming_pool,0.1551354989499701
price,surface_land_sqm,0.14936001038368835
price,nbr_frontages,0.14603012910461002
nbr_bedrooms,fl_garden,0.1446047087139168
nbr_frontages,nbr_bedrooms,0.14045432634736815
fl_open_fire,fl_double_glazing,0.13910759960144947
construction_year,fl_garden,-0.1323444898098857
price,terrace_sqm,0.11434803948779035
terrace_sqm,fl_garden,0.1130834716350503
fl_terrace,fl_double_glazing,0.1086618991032907
fl_terrace,fl_garden,0.10755112715352111
fl_garden,fl_double_glazing,0.10207404269548415
nbr_frontages,garden_sqm,0.09624750720043103
terrace_sqm,garden_sqm,0.0926394102265437
nbr_frontages,fl_garden,0.0926389992951324
surface_land_sqm,nbr_frontages,0.09208918003796317
price,garden_sqm,0.0871794049315196
nbr_bedrooms,fl_swimming_pool,0.08628078617497625
terrace_sqm,fl_swimming_pool,0.083944386123302
total_area_sqm,surface_land_sqm,0.07792344428188619
nbr_bedrooms,garden_sqm,0.0753574506422184
total_area_sqm,nbr_frontages,0.07162283034818935
surface_land_sqm,nbr_bedrooms,0.06905393785229848
nbr_frontages,terrace_sqm,0.06718219375421013
fl_terrace,fl_swimming_pool,0.06710084364443906
construction_year,garden_sqm,-0.06696576711631563
nbr_frontages,fl_open_fire,0.06652979212810398
fl_garden,fl_swimming_pool,0.06628717386275317
garden_sqm,fl_swimming_pool,0.0658330616323214
price,fl_floodzone,-0.06354599262118277
total_area_sqm,fl_swimming_pool,0.05795095942559824
fl_garden,fl_floodzone,-0.05574619247387653
construction_year,nbr_frontages,0.055386863215439855
surface_land_sqm,fl_swimming_pool,0.05471106005334526
nbr_bedrooms,terrace_sqm,0.05349748987071156
total_area_sqm,terrace_sqm,0.05219770855390184
construction_year,surface_land_sqm,-0.049782729872013154
nbr_bedrooms,fl_open_fire,0.04908427884331156
